id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1553394373601148928,"@Sen_JoeManchin High #energyprices are likely to put continued pressure on #inflation in coming yrs,forcing central… https://t.co/WBaVm8SRAo",2022-07-30 14:57:33+00:00,317457162,19,0,11,0
1553396201197912064,"@Sen_JoeManchin High #energyprices are likely to put continued pressure on #inflation in coming yrs, forcing the Fe… https://t.co/1FNTmMwEAA",2022-07-30 15:04:49+00:00,317457162,19,0,11,0
1553397986599788545,A large factor playing a role in the #UnitedStatesEconomy receding is the cost of energy. Joining us is Congressman… https://t.co/2QhWSlwxYg,2022-07-30 15:11:55+00:00,1443638153722671112,498,19,970,1
1553410577682370561,"I just signed the open letter, calling for Centrica CEO to not raise #energyprices for #BritishGascustomers again t… https://t.co/h3ED3fJVWN",2022-07-30 16:01:57+00:00,1546212133,266,1443,9137,0
1553446650915553283,"https://t.co/RZR7rsKz7m
#BorisJohnson #energybills #energyprices #CostOfLivingCrisis #ToryCostOfLivingCrisis",2022-07-30 18:25:17+00:00,117798721,263,110,100084,0
1553459606600536064,RT @capitolreport: A large factor playing a role in the #UnitedStatesEconomy receding is the cost of energy. Joining us is Congressman @Rep…,2022-07-30 19:16:46+00:00,1366433581749436423,3540,628,634,1
1553469704345460738,"If we were living in olden times and we got our energy (coal) for heating and our cooking from the king 🤴

And the… https://t.co/m7yTUyi7mS",2022-07-30 19:56:54+00:00,1444752807849041920,721,847,8836,0
1553486045156884480,@katiebecker16 @LizSward Just to clarify- the treasurer did announce a short term plan last week - for the remainde… https://t.co/wqcgRwnc42,2022-07-30 21:01:50+00:00,154710967,81,443,910,0
1553494666703540224,Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últi… https://t.co/smyeP5JlMq,2022-07-30 21:36:05+00:00,1016463545989566475,4289,1114,47442,9
1553495363348201472,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-30 21:38:51+00:00,1370477580030259204,8159,8677,30801,9
1553505225117315072,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-30 22:18:03+00:00,1068394723273031680,246,603,6620,9
1553507684229517312,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-30 22:27:49+00:00,1218774032516030465,6585,7219,5465,9
1553507988454879232,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-30 22:29:01+00:00,195412602,5592,612,196741,9
1553516383538905091,"Manchester
#energyprices https://t.co/2EPDdEyPGt",2022-07-30 23:02:23+00:00,1140651061893566466,800,1859,51544,0
1553518871738568704,"RT @MarcusFitzsimon: #heatoreat #energyprices #EnergyCrisis #energy #CostOfLivingCrisis 

tweeps, just got in from work, shit just got real…",2022-07-30 23:12:16+00:00,4798547435,4556,4996,388531,468
1553546356861464576,The #rouble is soaring and #Putin is stronger than ever - our #sanctions have backfired | Simon Jenkins… https://t.co/62qt5jPVYR,2022-07-31 01:01:29+00:00,787881938941902848,612,615,11753,0
1553561081850695680,"2022: COVID-19 HAS CHANGED MY WORLD… PART 2!

A warring world... 

https://t.co/L64uErWqVR

#COVID19 #ukrainewar… https://t.co/vvHR3fCKcj",2022-07-31 02:00:00+00:00,546823454,4591,5054,49197,0
1553577206617673728,I signed the open letter calling for #Centrica CEO to not raise #EnergyPrices for #BritishGas customers again this… https://t.co/VsQk0Rpbsw,2022-07-31 03:04:04+00:00,86886629,873,993,28722,0
1553609149396570113,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-31 05:11:00+00:00,1106931935882948608,708,576,10056,9
1553654040545861633,"October is just around the corner.
There’s urgent need for action in relation to #CostOfLiving and #EnergyPrices. M… https://t.co/XLGXGl1Lez",2022-07-31 08:09:23+00:00,13345452,2249,872,2258,1
1553661291096674304,https://t.co/27EkEhGaPE #energyprices https://t.co/00axqziMn0,2022-07-31 08:38:12+00:00,2172731284,151,41,30159,0
1553680115812515841,Russia accepts Bitcoin for natural gas https://t.co/AGA5Qdk3M5 … … … … … a través de @Fintech News #Russia… https://t.co/PRZ2TVSTL1,2022-07-31 09:53:00+00:00,35772868,313,50,270,0
1553717834890428416,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-31 12:22:53+00:00,927894794180939776,3765,3472,63987,9
1553720080671948801,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-31 12:31:48+00:00,1238483664784306177,347,458,6187,9
1553739009259704321,"Increases in wholesale gas prices cause a domino effect down to the consumer, and several global factors have drive… https://t.co/bTscNLnsoy",2022-07-31 13:47:01+00:00,880365852087988224,2909,374,339,0
1553754377499951105,RT @CrosslightAdv: Demand for our service has increased 64% in the last year and 30% in the last three months alone. Who are our clients? A…,2022-07-31 14:48:05+00:00,625562499,3249,3236,1140,5
1553755655940587521,RT @CrosslightAdv: Demand for our service has increased 64% in the last year and 30% in the last three months alone. Who are our clients? A…,2022-07-31 14:53:10+00:00,1244698678146863111,1238,1361,175088,5
1553792781038096387,"GPM's WEEKLY LPG ROUNDUP
A summary of key events and price movements in Nigeria's LPG ecosystem
July 25–July 30, 20… https://t.co/Tk6SRX984E",2022-07-31 17:20:41+00:00,1458083497722122250,51,6,21,0
1553792796691136513,"GPM's WEEKLY LPG ROUNDUP
A summary of key events and price movements in Nigeria's LPG ecosystem.
July 25–July 30, 2… https://t.co/jAzT86l0gN",2022-07-31 17:20:45+00:00,1458083497722122250,51,6,21,0
1553792809131548677,"GPM's WEEKLY LPG ROUNDUP
A summary of key events and price movements in Nigeria's LPG ecosystem.
July 25–July 30, 2… https://t.co/Jk8VdPOLm8",2022-07-31 17:20:48+00:00,1458083497722122250,51,6,21,0
1553796251946287105,"RT @LauFinancielle: Women will be disproportionately affected by the rise in #energyprices - a 🧵

Whilst the majority of people will not be…",2022-07-31 17:34:29+00:00,1137392371145039872,232,938,2914,4
1553817569932369922,RT @AndreaIniguezM: Estimados europeos y occidente en general: he aquí los efectos de las desastrosas políticas energéticas de las últimas…,2022-07-31 18:59:11+00:00,104921229,121,256,5749,9
1553846761030094850,"Higher #EnergyPrices alone are likely to reduce global output by nearly 1 percent by the end of 2023, according to… https://t.co/aRYpjMj6uk",2022-07-31 20:55:11+00:00,20518867,136103,356,929,1
1553847422220210177,"RT @SusanPopoola: October is just around the corner.
There’s urgent need for action in relation to #CostOfLiving and #EnergyPrices. Many ar…",2022-07-31 20:57:49+00:00,12181012,5502,5836,3844,1
1553852405070143489,"RT @WBPubs: Higher #EnergyPrices alone are likely to reduce global output by nearly 1 percent by the end of 2023, according to a recent @Wo…",2022-07-31 21:17:37+00:00,2786350644,55,622,10871,1
1553861803645566978,Maersk Asia Pacific market update (July 2022) #energyprices #freightrates #transportation #containers… https://t.co/WEHgtTJUcx,2022-07-31 21:54:58+00:00,334388774,13174,1520,267,1
1553862719853535233,"RT @HELLENICSHIP: Maersk Asia Pacific market update (July 2022) #energyprices #freightrates #transportation #containers
https://t.co/3oWWCw…",2022-07-31 21:58:36+00:00,1451304524002512899,29,144,6203,1
1553868104714919938,"Opinion💭by Jack Spencer

The so-called #InflationReductionAct will increase #EnergyPrices, make the US less energy… https://t.co/yYuorww90B",2022-07-31 22:20:00+00:00,1217213360846069760,24526,51,112,35
1553881678136971265,"RT @EpochOpinion: Opinion💭by Jack Spencer

The so-called #InflationReductionAct will increase #EnergyPrices, make the US less energy secure…",2022-07-31 23:13:56+00:00,949363338600943617,181,930,13865,35
1553883887830372354,"RT @EpochOpinion: Opinion💭by Jack Spencer

The so-called #InflationReductionAct will increase #EnergyPrices, make the US less energy secure…",2022-07-31 23:22:43+00:00,242793554,118,445,30531,35
1553987242401574913,For those that missed it @AlboMP in #Questiontime confidently tearing into #Burger King #TedOBrien over… https://t.co/L3zIzdKLtj,2022-08-01 06:13:24+00:00,1377870981113372673,2431,3695,5557,6
1553988936577748992,RT @ShitFuckery1: For those that missed it @AlboMP in #Questiontime confidently tearing into #Burger King #TedOBrien over #energyprices. Wa…,2022-08-01 06:20:08+00:00,39735769,182,1391,11012,6
1553991391315128320,RT @ShitFuckery1: For those that missed it @AlboMP in #Questiontime confidently tearing into #Burger King #TedOBrien over #energyprices. Wa…,2022-08-01 06:29:54+00:00,1295930931048415232,302,503,38358,6
1553991693409456128,RT @ShitFuckery1: For those that missed it @AlboMP in #Questiontime confidently tearing into #Burger King #TedOBrien over #energyprices. Wa…,2022-08-01 06:31:06+00:00,1530032091596877824,61,165,1864,6
1554006943102025730,"https://t.co/nAsFsRfNUu
Might help someone, so sharing my referral code as #EnergyPrices are getting higher.… https://t.co/zlPYw0AgFP",2022-08-01 07:31:41+00:00,586123514,635,2269,2867,0
1554012380966916097,#ToryCostOfLivingCrisis #ToryBudgetingTips #ToryCorruption #energybills #energyprices #CostOfLivingCrisis https://t.co/9jwXdhmyHV,2022-08-01 07:53:18+00:00,117798721,263,110,100084,0
1554016257208451072,"https://t.co/XTMFwR9lqp
#BorisJohnson #ToryCostOfLivingCrisis #ToryBudgetingTips #ToryCorruption… https://t.co/j9nyQfzpIo",2022-08-01 08:08:42+00:00,117798721,263,110,100084,0
1554027010225225728,"RT @EpochOpinion: Opinion💭by Jack Spencer

The so-called #InflationReductionAct will increase #EnergyPrices, make the US less energy secure…",2022-08-01 08:51:26+00:00,1321825065307152386,285,1310,17821,35
1554047513061195776,"RT @EnergyAceUK: The last Energy Market Report of July is now available for all to have a look into. ⚡

To learn more about the current ene…",2022-08-01 10:12:54+00:00,989854666744848384,659,553,2158,1
1554050243049693185,"📰 Hinkley B: UK's most productive nuclear power plant closes 📰

Switching Hinkley off will mean more electricity ma… https://t.co/nYGttqKGOt",2022-08-01 10:23:45+00:00,244124285,1804,1700,3658,0
1554058019897774081,RT @ShitFuckery1: For those that missed it @AlboMP in #Questiontime confidently tearing into #Burger King #TedOBrien over #energyprices. Wa…,2022-08-01 10:54:39+00:00,1416962955917152258,221,2207,12277,6
1554066391787077633,"Corporate greed are 2 words that spring to mind ☹️

#EnergyPrices https://t.co/u0NrS1tlb2",2022-08-01 11:27:55+00:00,22707272,2543,2379,171421,0
1554095614144692230,"In this week's #EnergyTransition we look at:

⚡ New BEIS Committee report on energy pricing

⚡ Ofgem's £8 million f… https://t.co/HQR8vQiJet",2022-08-01 13:24:02+00:00,34262016,7378,632,1373,1
1554106184147296256,"This Thursday, we will be presenting the third in a series of webinars to help @uk_SEA members understand the impli… https://t.co/9R8HgaerpK",2022-08-01 14:06:02+00:00,1362382544,640,1347,1335,3
1554117518310232066,"RT @CECchat: This Thursday, we will be presenting the third in a series of webinars to help @uk_SEA members understand the implications of…",2022-08-01 14:51:05+00:00,338269454,446,224,1324,3
1554119192470757377,The energy efficiency improvements identified in this blog are relatively straightforward and cost-effective to imp… https://t.co/lcsG4q6MRL,2022-08-01 14:57:44+00:00,280028213,332,538,137,0
1554128792066863104,"RT @CECchat: This Thursday, we will be presenting the third in a series of webinars to help @uk_SEA members understand the implications of…",2022-08-01 15:35:53+00:00,935577302,13551,8541,19426,3
