id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1556600126692548608,"RT @ACORNunion: This is a crisis for our class, not theirs. 

ACORN is proud to stand shoulder to shoulder with others in this campaign to…",2022-08-08 11:16:05+00:00,561572143,181,485,15295,51
1556600130375131136,"RT @ENOUGH_ND: Don’t be under any illusion, the reason they want to “curb Judge’s powers” is to limit our rights, enrich their backers and…",2022-08-08 11:16:05+00:00,527674798,7866,7336,159930,47
1556600168513929216,"RT @Helenspicer15: @fulham_fallout @YorksBylines #nhscrisis 
NO #NHSPrivatisation 
#EnoughIsEnough 
It must stay in public hands!! https://…",2022-08-08 11:16:15+00:00,872844815939112960,617,619,32418,56
1556600176575496192,RT @Taj_Ali1: Workers in Britain have experienced the longest period of wage stagnation since the 1800s and now face further real-terms pay…,2022-08-08 11:16:16+00:00,420351613,5082,3792,236980,297
1556600180681621505,#EnoughIsEnough #CostOfLivingCrisis #TakeThePowerBack #NHSPay15 https://t.co/iWCYzqlyZE https://t.co/bml1UNXcGY,2022-08-08 11:16:17+00:00,930520648245497856,8903,9772,196189,2
1556600221546823681,"RT @Nurseborisbash: I've been a nurse for over 30 years and I've seen my wages fall 20% below the cost of living. 
We risked our lives and…",2022-08-08 11:16:27+00:00,420351613,5082,3792,236980,159
1556600249904513024,"oh God, why palestine gonna free?

tag::::waterstones, #EnoughIsEnough https://t.co/U8zTpBA6La",2022-08-08 11:16:34+00:00,184461962,100,149,75,0
1556600259949854720,"It is time to stand up and say #EnoughIsEnough 

Together we can make a change. https://t.co/7HT7IvcpS5",2022-08-08 11:16:36+00:00,1162104967215362068,1667,1759,2050,0
1556600278044086273,"RT @PeterStefanovi2: This is absolutely superb from @eiecampaign 

“It’s time to channel anger into action” 

#EnoughIsEnough!

https://t.c…",2022-08-08 11:16:41+00:00,103989424,1347,1382,228092,1169
1556600294871547904,"RT @tweet2chris2: EVERYONE OUT ON THE STREETS !!!
If there is no opposition politically, then people must show this gvnt what REAL OPPOSITI…",2022-08-08 11:16:45+00:00,420351613,5082,3792,236980,59
