id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1559281657584164867,RT @MrJingle14: #GetBackToWorkYouFatPonce is trending https://t.co/KMd1lq7yb6,2022-08-15 20:51:31+00:00,715285822598168577,4102,5001,85530,62
1559281660566413314,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/gEzwESRrxN,2022-08-15 20:51:32+00:00,2663662412,34,59,8417,448
1559281678098595843,"RT @B__50000_: Loving this hashtag 👇 

#GetBackToWorkYouFatPonce https://t.co/Zu2lJtBtRu",2022-08-15 20:51:36+00:00,321340097,551,1217,53526,378
1559281679080071169,RT @tonyrawdin9: Has he ever done a day’s work? I remember a time when he went missing at the start of a pandemic. And going AWOL to meet a…,2022-08-15 20:51:37+00:00,718856899429576705,1458,1735,35414,422
1559281679486930949,"RT @Parody_PM: Today, I am mostly being a lazy fat ponce.
#GetBackToWorkYouFatPonce",2022-08-15 20:51:37+00:00,4201996751,5502,5446,315451,1381
1559281679730188288,"RT @SallyMi83941850: In a G7 nation. A country with money. 
A Goverment who couldn’t give a toss and who will let its population starve whi…",2022-08-15 20:51:37+00:00,1450080711826935816,5077,5558,5540,29
1559281687112073216,#Getbacktoworkyoufatponce https://t.co/UUeuIBkBaI,2022-08-15 20:51:38+00:00,582538139,472,1350,98705,49
1559281687737032705,RT @LincsLimpet: @AnthonyCockbur2 @LGalloway77 I warned my cloth-eared MP nearly a year ago there would be a price to pay for making so man…,2022-08-15 20:51:39+00:00,715285822598168577,4102,5001,85530,22
1559281690098520065,"RT @THemingford: Seriously - RT this if you do NOT support the Conservatives and will NOT be voting for the Tories 

#GetBackToWorkYouFatPo…",2022-08-15 20:51:39+00:00,1256511141586644992,1076,1516,51476,1170
1559281698780725248,"RT @i_nautilus: Has there ever been a Prime Minister so utterly indifferent to the plight of their electorate? 

#CostOfGreedCrisis #GetBac…",2022-08-15 20:51:41+00:00,121517017,962,2215,2698,105
1559281699313295366,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/KqGk9EQouE,2022-08-15 20:51:41+00:00,1382328946868502530,522,328,18602,652
1559281707261509633,"RT @LincsLimpet: And this is supposed to make us feel sorry for him?????

#CostOfGreedCrisis 
#EnoughIsEnough 
#GetBackToWorkYouFatPonce 
#…",2022-08-15 20:51:43+00:00,715285822598168577,4102,5001,85530,16
1559281715650203648,"Fuck I've accidentally retweeted it 
#GetBackToWorkYouFatPonce",2022-08-15 20:51:45+00:00,1540106672886145025,982,1517,348,3
1559281718481272838,RT @G33Jambo: I’m led to believe that #GetBackToWorkYouFatPonce is trending. Can some confirm that #GetBackToWorkYouFatPonce is indeed #Tre…,2022-08-15 20:51:46+00:00,1494309443542167559,1645,1697,449,32
1559281725599059968,RT @Carolin14982031: @lingardenisle @ChirpyChet @LincsLimpet Every time I post #GetBackToWorkYouFatPonce I chuckle and I think what a low l…,2022-08-15 20:51:48+00:00,715285822598168577,4102,5001,85530,6
1559281726345646092,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/gEzwESRrxN,2022-08-15 20:51:48+00:00,15950856,352,464,148097,448
1559281741596135437,"RT @THemingford: Seriously - RT this if you do NOT support the Conservatives and will NOT be voting for the Tories 

#GetBackToWorkYouFatPo…",2022-08-15 20:51:51+00:00,1185319018594537474,695,819,87099,1170
1559281743974354947,RT @BBCLauraKT: BREAKING: Absolutely no one has any idea why #GetBackToWorkYouFatPonce is trending on Twitter. It's one of those mysteries…,2022-08-15 20:51:52+00:00,1329732518,1898,4807,206916,1703
1559281745853284376,"RT @HarveyWoodphoto: #GetBackToWorkYouFatPonce
Just love that this hashtag is trending.
Let's keep it going. https://t.co/YpDxx8eRMv",2022-08-15 20:51:52+00:00,715285822598168577,4102,5001,85530,93
1559281746931339270,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/KqGk9EQouE,2022-08-15 20:51:53+00:00,1517879830544629760,144,344,16714,652
1559281747967127552,@campbellclaret #GetBackToWorkYouFatPonce seems to be trending…,2022-08-15 20:51:53+00:00,22472356,120,710,13312,2
1559281753667272709,"RT @Brexit_Mistake: Message from Yorkshire
to #JohnsonTheScrounger 
""#PleaseLeaveMyTown"" and #GetBackToWorkYouFatPonce"" 

#ToryCriminalsUnf…",2022-08-15 20:51:54+00:00,1432452828694450176,247,285,55275,4
1559281758650130434,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/gEzwESRrxN,2022-08-15 20:51:55+00:00,893045050023727104,32,356,4560,448
1559281766917197824,"RT @JudyMansfield: If you’re in Greece, why not do me a favour and go and find this wastrel and yell #GetBackToWorkYouFatPonce ?   Thank yo…",2022-08-15 20:51:57+00:00,715285822598168577,4102,5001,85530,64
1559281769110798338,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/gEzwESRrxN,2022-08-15 20:51:58+00:00,801521016380030976,67,65,14312,448
1559281769827950594,"RT @quiztina1: #GetBackToWorkYouFatPonce 
Full video 😂😂 https://t.co/iKUG4ZUrym",2022-08-15 20:51:58+00:00,41991601,139,706,13555,15
1559281774936596481,"RT @THemingford: Seriously - RT this if you do NOT support the Conservatives and will NOT be voting for the Tories 

#GetBackToWorkYouFatPo…",2022-08-15 20:51:59+00:00,3479791037,3503,4305,210662,1170
1559281780473094144,"RT @scottandrew444: Please, please don't retweet #GetBackToWorkYouFatPonce 
or it will go to number one!",2022-08-15 20:52:01+00:00,1185319018594537474,695,819,87099,1624
1559281784591978496,"RT @scottandrew444: Please, please don't retweet #GetBackToWorkYouFatPonce 
or it will go to number one!",2022-08-15 20:52:02+00:00,298629545,405,455,237901,1624
1559281785107800064,RT @SallyMi83941850: @LGalloway77 @_FrancesCarroll @mattyfeb1987 @LouiseScott1377 @sandrag10979940 @tonyrawdin9 @ChirpyChet @frankgwest @Ma…,2022-08-15 20:52:02+00:00,715285822598168577,4102,5001,85530,16
1559281789176258565,RT @Mum24DogsUK: Loving this hashtag #GetBackToWorkYouFatPonce https://t.co/BdIfwcMIsz,2022-08-15 20:52:03+00:00,921429014,1504,3902,40524,176
1559281792976404482,RT @jonnets: Find Boris on this beach in Greece... #GetBackToWorkYouFatPonce https://t.co/ppcxd3g5Xh,2022-08-15 20:52:04+00:00,897190740261994496,207,291,6427,3058
1559281799125237761,"RT @HughJampton66: I may have mentioned it before, but @BorisJohnson, #GetBackToWorkYouFatPonce https://t.co/F8PjQcKurx",2022-08-15 20:52:05+00:00,715285822598168577,4102,5001,85530,27
1559281809887821826,RT @NaqviMA: @GOV2UK You couldn’t make up could U. I mean this being called Coffee was found out lying &amp; hiding deaths I would suggest ‘dir…,2022-08-15 20:52:08+00:00,1450080711826935816,5077,5558,5540,196
1559281810919624704,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/gEzwESRrxN,2022-08-15 20:52:08+00:00,1529875075196919810,128,376,2312,448
1559281811360030721,"RT @AnthonyCockbur2: @Carolin14982031 @KarlLasis @ChirpyChet @lingardenisle @GOV2UK #JohnsonOut203
#ToriesOut39
#ToryLeadershipFarce
#Enoug…",2022-08-15 20:52:08+00:00,1480876730084642819,8025,8434,18806,1
1559281818490265601,"RT @Caesium_star: In case there are any toady tory voters who are confused...he doesn't care about you...and never has!
#GetBackToWorkYouFa…",2022-08-15 20:52:10+00:00,715285822598168577,4102,5001,85530,27
1559281822801993728,RT @jonnets: Find Boris on this beach in Greece... #GetBackToWorkYouFatPonce https://t.co/ppcxd3g5Xh,2022-08-15 20:52:11+00:00,1185319018594537474,695,819,87099,3058
1559281824634998786,RT @jonnets: Find Boris on this beach in Greece... #GetBackToWorkYouFatPonce https://t.co/ppcxd3g5Xh,2022-08-15 20:52:11+00:00,855408793282379777,1558,99,929,3058
1559281836865486850,"RT @HarryBu20084568: One year on from the disaster of Kabul, you may be interested to know the ‘fat ponce’ delayed the plans to evacuate by…",2022-08-15 20:52:14+00:00,715285822598168577,4102,5001,85530,42
1559281846344622082,RT @DrSyn4: #Getbacktoworkyoufatponce https://t.co/KqGk9EQouE,2022-08-15 20:52:16+00:00,55155032,1083,2022,112720,652
1559281848823517185,"RT @scottandrew444: Please, please don't retweet #GetBackToWorkYouFatPonce 
or it will go to number one!",2022-08-15 20:52:17+00:00,956654925282512896,1760,2364,5520,1624
1559281849096192007,@Dickysparks @BorisJohnson Yes.  #GetBackToWorkYouFatPonce  is trending,2022-08-15 20:52:17+00:00,62953026,4008,4496,133446,1
1559281850937671680,RT @DaveOfThePeak: @Phil_Osophi @BorisJohnson #Getbacktoworkyoufatponce,2022-08-15 20:52:17+00:00,26715969,946,1243,17664,1
1559281857207930880,RT @BBCLauraKT: BREAKING: Absolutely no one has any idea why #GetBackToWorkYouFatPonce is trending on Twitter. It's one of those mysteries…,2022-08-15 20:52:19+00:00,22145406,171,741,57473,1703
1559281857761533957,RT @THemingford: Boris Johnson - I hope someone with a VPN can download or screen grab the video / audio and post it on YouTube or somewher…,2022-08-15 20:52:19+00:00,715285822598168577,4102,5001,85530,46
1559281860110434309,RT @Parody_PM: The change of pace when I stop being Prime Minister is going to take some getting used to. I can’t even imagine what it will…,2022-08-15 20:52:20+00:00,1562642532,186,508,4759,486
1559281861633134592,"RT @Parody_PM: ""Hands up if you're a fat ponce""
#GetBackToWorkYouFatPonce https://t.co/609libbOIF",2022-08-15 20:52:20+00:00,943328498,1172,788,332093,1556
1559281878099791874,"RT @ChirpyChet: @simunch1 @GOV2UK I am so heartily sick of Johnson and the Tories. 

#GetBackToWorkYouFatPonce 

#JohnsonOut203 #ToriesOut39",2022-08-15 20:52:24+00:00,715285822598168577,4102,5001,85530,17
1559281881971134472,RT @AshikawaBrewery: @campbellclaret #GetBackToWorkYouFatPonce seems to be trending…,2022-08-15 20:52:25+00:00,2332502833,10866,10881,130710,2
1559281895308918790,"RT @SallyMi83941850: @lingardenisle @markeverett1977 @GOV2UK They are the essence of entitled delusion 
Thankfully we the public can put th…",2022-08-15 20:52:28+00:00,715285822598168577,4102,5001,85530,16
