id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1556587785007632391,"RT @sophiee_ob: Customs Nike Airforce 1 Low ’Just Did It’* 

Sizes 40-45 👟

Price:31,000 naira 🏷

#emilokan | Kizz Daniel | Daniella | SWAT…",2022-08-08 10:27:02+00:00,380215459,1760,1625,16092,50
1556587794582999040,Peter Obi or Peter Obi #VoteThemOut #PeterObiForPresident2023 #Obidatti023 https://t.co/A8PiW5kyJN,2022-08-08 10:27:04+00:00,994285612097261569,19172,16692,133015,0
1556587807791087616,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:08+00:00,1535893130599227392,227,171,21342,142
1556587818729742338,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:10+00:00,1552227191605313536,278,1139,18,142
1556587824710819840,"RT @TheArtivist_KE: Fellow Kenyans there is life after elections..... #ElectionsBilaNoma
#KenyaDecides2022 JKIA Sugoi Eric Omondi #VoteThem…",2022-08-08 10:27:12+00:00,374670868,44,193,2181,50
1556587841467064322,"Nanny camera available #nairobi #nannycamera price is 4500ksh call or what'sapp +254786664754
""mutahi kagwe""
""Moses… https://t.co/oEAaPNKK6y",2022-08-08 10:27:16+00:00,1438376352428724234,5,21,90,0
1556587942688194560,"RT @AffiliateOla: I love you but your father 😂😂

Pastor #VoteThemOut Tundun Sanwolu #Cheating Microsoft Seun Arise TV Wole Soyinka Favour O…",2022-08-08 10:27:40+00:00,1487499246429478919,144,272,27099,29
1556587960929222658,"A New Nigeria is POssible, #VoteThemOut #Obidients #Obidatti2023 #PeterObiForPresident2023 https://t.co/XpyULFfpEB",2022-08-08 10:27:44+00:00,994285612097261569,19172,16692,133015,0
1556587970693562370,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:46+00:00,532047617,470,301,5568,142
1556587978067218433,"RT @multimeverse: One man will come and say he own a whole state &amp; people will applaud him. They will say Godfatherism, in this era? Mentee…",2022-08-08 10:27:48+00:00,1512034590038319104,56,577,3660,312
1556587985197490177,"RT @multimeverse: One man will come and say he own a whole state &amp; people will applaud him. They will say Godfatherism, in this era? Mentee…",2022-08-08 10:27:50+00:00,858955014584377344,1199,1104,5888,312
1556588018672230400,"RT @Nrb_independent: Forget about Moses Kuria, Odinga, GEMA, Mutahi Kagwe, Julius Yego, #VoteThemOut , #Elections2022 Juliani, jm Kariuki a…",2022-08-08 10:27:58+00:00,1129395671658881025,627,176,17602,289
1556588041766146053,RT @Keisha_Lakish: 🤣🤣🤣🤣🤣🤣🤣🤣Generation Z will surely pepper you @OfficialPDPNig @OfficialAPCNg this is what young people think of you Intern…,2022-08-08 10:28:03+00:00,2844293061,161,546,11036,3
1556588054869073920,"RT @NewsSheriff: 16-year-old Nigerian wonderkid, Tomisin Ogunnubi, beats 49,900 contestants from 170 countries to emerge among winners of $…",2022-08-08 10:28:06+00:00,1542551413703774208,40,162,2,47
1556588136066678784,"RT @multimeverse: One man will come and say he own a whole state &amp; people will applaud him. They will say Godfatherism, in this era? Mentee…",2022-08-08 10:28:26+00:00,3347895137,1664,1894,1988,312
1556588137291317248,"RT @xtnstudio: God Abeg, today is my birthday. I need work to pay bills 🙏🏿🙏🏿🙏🏿

I am a freelance Architect. Contact 08033712318

Frenkie ch…",2022-08-08 10:28:26+00:00,1392767789694337026,35,279,3986,97
1556588186503204865,"RT @multimeverse: One man will come and say he own a whole state &amp; people will applaud him. They will say Godfatherism, in this era? Mentee…",2022-08-08 10:28:38+00:00,1548224277857517570,629,1732,298,312
1556588192614293505,"RT @Nrb_independent: Forget about Moses Kuria, Odinga, GEMA, Mutahi Kagwe, Julius Yego, #VoteThemOut , #Elections2022 Juliani, jm Kariuki a…",2022-08-08 10:28:39+00:00,1273477452438929408,2759,2710,50329,289
1556588264198647809,Naivasha 4 bedrooms with lake access boats bonfire indoor games swimming pool #TravelsNaivasha #Karibukenya #Travel… https://t.co/9Nc4H7DI9F,2022-08-08 10:28:56+00:00,1525877019770241024,39,248,71,0
1556588301242572801,"Cos you can make noise and eloquent doesn't make you jagaban in the room, some are silent with gentle face  but can… https://t.co/8Lmasn276y",2022-08-08 10:29:05+00:00,1135843277989646337,1949,3047,15788,1
1556588331370160129,"RT @TheArtivist_KE: Fellow Kenyans there is life after elections..... #ElectionsBilaNoma
#KenyaDecides2022 JKIA Sugoi Eric Omondi #VoteThem…",2022-08-08 10:29:12+00:00,1489571604682227715,35,386,693,50
1556588347887337474,"RT @politicalcritik: This saying is common among the Yoruba and Igbo. ""An old man who ties corn around his waist turns into a chicken's mat…",2022-08-08 10:29:16+00:00,880505695866691586,15,9,166,45
1556588397224988674,"RT @dominion_court: When you raise up your two hands to the Lord, you are telling Him that you are letting go of everything and looking up…",2022-08-08 10:29:28+00:00,1482713950181543939,10,101,33,2
1556588397619286018,"#EnoughIsEnough 
#VoteThemOut 
#GeneralElectionNow 
#JohnsonTheSquatter https://t.co/oZpAkusDGq",2022-08-08 10:29:28+00:00,228722853,723,598,34826,0
1556588412269993984,"I like the creativity here...

This is the right way to handle politics linings..especially in a Country where ther… https://t.co/1BrAzx7AcL",2022-08-08 10:29:32+00:00,34962084,15224,14501,18004,1
1556588463230681088,"Moving on, the year is now 2027. Allow me to introduce The 6th.
#VoteThemOut 
Sugoi | Mutahi kagwe | Eric Omondi https://t.co/A6laackl3d",2022-08-08 10:29:44+00:00,1266550813,8,61,8,0
1556588471573176320,"RT @piper4missouri: Look around, Missouri. See your crumbling roads? Your 4-day schools? Your rural hospitals closing? The proliferation of…",2022-08-08 10:29:46+00:00,825876105139802114,4277,4801,417295,4893
1556588501134884865,"RT @Nrb_independent: Forget about Moses Kuria, Odinga, GEMA, Mutahi Kagwe, Julius Yego, #VoteThemOut , #Elections2022 Juliani, jm Kariuki a…",2022-08-08 10:29:53+00:00,1406225862932959234,13,228,457,289
1556588512669044736,This should be retweeted till it reaches everyone so they know that to do if someone else is announced the winner 2… https://t.co/ax42Bfe7pm,2022-08-08 10:29:56+00:00,1482975069575987200,331,592,511,1
1556588533309136897,"RT @sophiee_ob: Customs Nike Airforce 1 Low ’Just Did It’* 

Sizes 40-45 👟

Price:31,000 naira 🏷

#emilokan | Kizz Daniel | Daniella | SWAT…",2022-08-08 10:30:01+00:00,1320794886279438341,6748,3778,63647,50
1556588583296925696,God is able to take the mess of our past and turn it into a message. He takes the trials and tests and turns them i… https://t.co/gsHG8Yx7Bq,2022-08-08 10:30:12+00:00,943117615903461376,10,43,22,2
1556588611318996992,RT @dominion_court: God is able to take the mess of our past and turn it into a message. He takes the trials and tests and turns them into…,2022-08-08 10:30:19+00:00,1438761575070973952,3117,0,4,2
1556588636321316864,"RT @sophiee_ob: Customs Nike Airforce 1 Low ’Just Did It’* 

Sizes 40-45 👟

Price:31,000 naira 🏷

#emilokan | Kizz Daniel | Daniella | SWAT…",2022-08-08 10:30:25+00:00,1483217045244334082,2233,2516,8792,50
1556588645972336640,"RT @adigomKelson: Nasarawa people have raised the bar. Now, other states will seek to up their game. If you took a dose of hypertensive dru…",2022-08-08 10:30:27+00:00,1126492977273212933,249,172,11990,27
