id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1556759148565594113,"RT @Freezer3emeForm: #ONEPIECE #ONEPIECE1056 #ONEPIECEFILMRED
Mihawk qui va chez baggy avec son équipage https://t.co/xqOblbRxNV",2022-08-08 21:47:58+00:00,1358800436585766917,1,59,414,2115
1556759159408054272,"RT @jump_henshubu: ／
フォロー＆RTで当たる🎯
＼
劇場版「FILM RED」公開直前❗️
『ONE PIECE』原作グッズを
ランダムで4名様に🙌

1⃣@jump_henshubuをフォロー
2⃣この投稿をRTで応募完了
※8/14まで

JCSやJUM…",2022-08-08 21:48:01+00:00,1128786212779466752,26,122,260,20474
1556759164478791682,"RT @OPBR_official: 📢さらに‼️

みんなで獲得した合計ポイントが150万Pt突破で
バウンティ&amp;トレクルの全ユーザーに豪華報酬プレゼント🌈✨

みんなの総獲得ポイントは毎日Twitterで案内します！

たくさんの参加をお待ちしています🎶
#ONEPIECE…",2022-08-08 21:48:02+00:00,1418248136527687684,0,3,47,9152
1556759175551524864,"RT @OPBR_official: 📢さらに‼️

みんなで獲得した合計ポイントが150万Pt突破で
バウンティ&amp;トレクルの全ユーザーに豪華報酬プレゼント🌈✨

みんなの総獲得ポイントは毎日Twitterで案内します！

たくさんの参加をお待ちしています🎶
#ONEPIECE…",2022-08-08 21:48:05+00:00,1154253873508282369,83,262,5358,9152
1556759179473428480,"RT @oekakiboya: ナミのげんこつには敵わない
#ONEPIECE https://t.co/XLNsWIdAhc",2022-08-08 21:48:06+00:00,1246517060601069569,269,452,79390,1217
1556759182186930178,"RT @OPBR_official: 🔴#トレジャークルーズ ✖️ #バウンティラッシュ
合同キャンペーン開催決定🔴

#OP_FILMRED 公開のアツい夏を盛り上げる
特別なキャンペーンの開催が決定💡

詳細は近日発表！
続報をお楽しみに👀

#ONEPIECE #夏の海賊…",2022-08-08 21:48:06+00:00,1468534084251299845,4,19,102,9335
1556759187572785152,"RT @OPBR_official: 🎶#夏の海賊ダブルフェス 
Twitterキャンペーン開催🎶

指定ハッシュタグのついたツイートを
「RT」「いいね」でポイント獲得💡
獲得したポイントはゲーム内アイテムと交換できる！📱

👇期間
ポイント獲得期間：～8/12 23:59（…",2022-08-08 21:48:08+00:00,1473427956609744896,0,6,7,26486
1556759190626250752,RT @Wantsy_M: ^q^ #ONEPIECE #ゾロサン https://t.co/qNpG3x1I6A https://t.co/M6yi5DNGLZ,2022-08-08 21:48:08+00:00,1394287365800136707,77,1847,9358,869
1556759192131739648,"RT @oekakiboya: ナミのげんこつには敵わない
#ONEPIECE https://t.co/XLNsWIdAhc",2022-08-08 21:48:09+00:00,1099888270303993856,145,188,14475,1217
1556759197781475335,"RT @OPCrew_Oficial: Comparación del anime (1015) antes y después de aplicar los efectos finales.
#ONEPIECE https://t.co/YhkZ2nQoln",2022-08-08 21:48:10+00:00,752988362,72,68,13935,338
1556759197852880897,"RT @s_maro7: #ONEPIECE 

My captain https://t.co/hfmKP9uJZo",2022-08-08 21:48:10+00:00,2602026428,52,619,7488,79
1556759199975182338,"RT @oekakiboya: ナミのげんこつには敵わない
#ONEPIECE https://t.co/XLNsWIdAhc",2022-08-08 21:48:11+00:00,1472799809648144387,33,715,7060,1217
1556759205650272256,"RT @ONEPIECE_trecru: 📢さらに‼️

みんなで獲得した合計ポイントが150万Pt突破で
トレクル＆バウンティの全ユーザーに豪華報酬プレゼント🌈✨

みんなの総獲得ポイントは毎日Twitterで案内します！

たくさんの参加をお待ちしています🎶
#ONEPIE…",2022-08-08 21:48:12+00:00,1379702712938291201,78,215,11422,11589
1556759209756471296,"RT @ONEPIECE_trecru: 🎶#夏の海賊ダブルフェス 
Twitterキャンペーン開催🎶

指定ハッシュタグのついたツイートを
「RT」「いいね」でポイント獲得💡
獲得したポイントはゲーム内アイテムと交換できる！📱

👇期間
ポイント獲得期間：～8/12 23:5…",2022-08-08 21:48:13+00:00,797370718254047232,243,468,275,11913
1556759214348832768,"2/27発売、冬でも元気に水着のナミさん！笑

▼詳しくは画像をクリック
https://t.co/Og4YrTMThs

#ONEPIECE https://t.co/Co0HeKy6Q5",2022-08-08 21:48:14+00:00,729945348,2296,1232,15,0
1556759221689282560,"RT @bossketehelpme: #バウンティラッシュ でメンバー探してるそこそこ活発な同盟さんいらっしゃれば入れてください^ ^

#夏の海賊ダブルフェス #OPBR #ワンピース #onepiece https://t.co/zQMorTF7Td",2022-08-08 21:48:16+00:00,2935386672,4,38,256,199
1556759223664463873,"RT @OPBR_official: 🔴#トレジャークルーズ ✖️ #バウンティラッシュ
合同キャンペーン開催決定🔴

#OP_FILMRED 公開のアツい夏を盛り上げる
特別なキャンペーンの開催が決定💡

詳細は近日発表！
続報をお楽しみに👀

#ONEPIECE #夏の海賊…",2022-08-08 21:48:16+00:00,1211811382447890433,1,13,1900,9335
1556759231310999552,"RT @jump_henshubu: ／
フォロー＆RTで当たる🎯
＼
劇場版「FILM RED」公開直前❗️
『ONE PIECE』原作グッズを
ランダムで4名様に🙌

1⃣@jump_henshubuをフォロー
2⃣この投稿をRTで応募完了
※8/14まで

JCSやJUM…",2022-08-08 21:48:18+00:00,1200061417463767040,2,47,1096,20474
1556759234209091594,"RT @stackopamcake: Brand New Dudes
[#ONEPIECE #ONEPIECE1056SPOILERS] https://t.co/dBjCKWwZLc",2022-08-08 21:48:19+00:00,1165691159857049601,253,258,17770,421
1556759239749541893,"RT @jump_henshubu: ／
フォロー＆RTで当たる🎯
＼
劇場版「FILM RED」公開直前❗️
『ONE PIECE』原作グッズを
ランダムで4名様に🙌

1⃣@jump_henshubuをフォロー
2⃣この投稿をRTで応募完了
※8/14まで

JCSやJUM…",2022-08-08 21:48:20+00:00,815789018101129216,14,1439,18,20474
1556759244086448129,"RT @OPBR_official: 🎶#夏の海賊ダブルフェス 
Twitterキャンペーン開催🎶

指定ハッシュタグのついたツイートを
「RT」「いいね」でポイント獲得💡
獲得したポイントはゲーム内アイテムと交換できる！📱

👇期間
ポイント獲得期間：～8/12 23:59（…",2022-08-08 21:48:21+00:00,1551518582898536448,34,29,352,26486
1556759245491646464,"RT @jump_henshubu: ／
フォロー＆RTで当たる🎯
＼
劇場版「FILM RED」公開直前❗️
『ONE PIECE』原作グッズを
ランダムで4名様に🙌

1⃣@jump_henshubuをフォロー
2⃣この投稿をRTで応募完了
※8/14まで

JCSやJUM…",2022-08-08 21:48:21+00:00,1485161782687645697,4,56,1219,20474
1556759250000416768,"RT @BRsnakeprincess: ONE PIECE FILM RED観てきた☠️🎼❤️
IMAXにして大正解！最高🫰🏻♥
シャンクスべあめちゃかわやろ🧸💭💕
ワンピの実あったから回したらサニーくん大量発生したのは笑った🦁☀️
#ONEPIECE
#ワンピース
#夏の海…",2022-08-08 21:48:23+00:00,1477422916736544768,4,131,94,32
1556759252693557248,"RT @ONEPIECE_trecru: 📢さらに‼️

みんなで獲得した合計ポイントが150万Pt突破で
トレクル＆バウンティの全ユーザーに豪華報酬プレゼント🌈✨

みんなの総獲得ポイントは毎日Twitterで案内します！

たくさんの参加をお待ちしています🎶
#ONEPIE…",2022-08-08 21:48:23+00:00,797370718254047232,243,468,275,11589
1556759254765555712,"RT @oekakiboya: ナミのげんこつには敵わない
#ONEPIECE https://t.co/XLNsWIdAhc",2022-08-08 21:48:24+00:00,2556073328,350,214,20517,1217
1556759256384548864,"RT @jiio1231: #onepiece

기어2 https://t.co/Tk88Ausd5K",2022-08-08 21:48:24+00:00,1502842178296778752,2161,92,3934,49
1556759256938041347,"RT @satomaru31000: カイドウvsおでん
#100日チャレンジ 13日目
#ワンピース   #ONEPIECE   #イラスト https://t.co/8Ui1hIC69c",2022-08-08 21:48:24+00:00,1246517060601069569,269,452,79390,685
1556759266257780736,"RT @kiddddde: en excluvisité pour vous, j'ai infiltré le groupe de Baggy..

#ONEPIECE1056 #ONEPIECE #Baggy #Mihawk https://t.co/XnpMM5hLs9",2022-08-08 21:48:26+00:00,1124650875727822849,47,220,9305,436
1556759270032830464,"今日はワポルとハックの誕生日です。おめでとうございます🎉
悪ブラックドラム王国国王ワポルさん、悪い政治はやめましょう‼︎
革命軍兵士ハックさん、現在のサボの状況に何を思う⁉︎
#ワポル誕生祭2022
#ハック誕生祭2022… https://t.co/NmhCK65oEH",2022-08-08 21:48:27+00:00,1398809438937440261,698,601,26743,0
1556759276370026496,"RT @jump_henshubu: ／
フォロー＆RTで当たる🎯
＼
劇場版「FILM RED」公開直前❗️
『ONE PIECE』原作グッズを
ランダムで4名様に🙌

1⃣@jump_henshubuをフォロー
2⃣この投稿をRTで応募完了
※8/14まで

JCSやJUM…",2022-08-08 21:48:29+00:00,947028765246287873,3,96,24341,20474
