id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1556541612821553152,"#FLASHINFO 
Le ministère de la Défense de #Taiwan affirme que la ligne médiane du détroit de Taiwan est une ligne d… https://t.co/2ov42wkUOP",2022-08-08 07:23:34+00:00,1273218547846729729,53609,78,73,0
1556541624951472130,RT @MOFA_Taiwan: Minister Wu extended a warm welcome to #Taiwan's🇹🇼 great supporter @ComradeRalph. It's a real privilege to have the PM of…,2022-08-08 07:23:37+00:00,2999543756,1240,899,19514,212
1556541635386904576,"RT @LouisBoyart: Je suis un enfant #HP (Haut Potentiel pour débiles), donc je vous prie sciemment de respecter le travail fastidieux que j'…",2022-08-08 07:23:39+00:00,1430899835272454150,2651,3132,28928,68
1556541639744790529,"RT @Zhou_Li_CHN: ""#Türkiye is firmly committed to the #OneChinaPolicy, not only on the #Taiwan question but also on #Xinjiang-related issue…",2022-08-08 07:23:40+00:00,2909445183,1800,850,24849,26
1556541640310788096,"RT @NFSC_HAGnews: Large fleet of fishing boats working in East China Sea during #Pelosi’s visit to #Taiwan!

💥This action is equivalent to…",2022-08-08 07:23:40+00:00,1493122848851910659,905,331,39,41
1556541647139115008,RT @Wenyin2064: Chinese Ambassador said to re-educate the Taiwanese after invasion. Swiss Set to Match EU Sanctions if China Invades Taiwan…,2022-08-08 07:23:42+00:00,1493122848851910659,905,331,39,2
1556541653325864960,RT @ChineseEmbinUK: .@AmbZhengZeguang lodged solemn representations to the UK side over the joint statement on the question of #Taiwan by G…,2022-08-08 07:23:43+00:00,2720051267,572,517,272552,5
1556541687811506178,"RT @Therealgsns: BREAKING! Top Taiwan defence research expert, 57, who was in charge of missile production is found dead in his hotel room…",2022-08-08 07:23:52+00:00,67839403,335,507,20223,3
1556541691091369987,"RT @Fallen_x_King: Scenes:
#WWIII #Taiwan #WW3 https://t.co/vCGjnXsAKW",2022-08-08 07:23:52+00:00,1485298277679517699,6,18,281,6510
1556541699689574400,RT @IndoPac_Info: A Taiwanese Fighter Jet conducting a Combat Air Patrol (CAP) mission over #Taiwan today https://t.co/9OwqQliMCj,2022-08-08 07:23:55+00:00,1167660096060395521,1243,1248,80393,56
1556541707348750337,RT @samirsaran: #Pelosi’s is not responsible for #China’s aggression against #Taiwan - #XiJinping is. Let’s focus on his imperial thirst.,2022-08-08 07:23:56+00:00,737953238,366,2789,133472,122
1556541709013504000,RT @WilliamYang120: Breaking: #China's Eastern Theater Command announced that they will continue coordinated military drills around #Taiwan…,2022-08-08 07:23:57+00:00,1361541805846618114,550,543,122561,98
1556541712260120576,"RT @SpokespersonCHN: ""#Taiwan is part of China. That's been absolutely accepted by the whole of international community... And if you don't…",2022-08-08 07:23:58+00:00,1172941914628382726,2158,2985,13590,1613
1556541718014480385,#taiwan 每一条路都是回家的路 https://t.co/2GdbAgpFvm,2022-08-08 07:23:59+00:00,1341550594411036672,1174,1584,130,0
1556541738348675072,RT @Therealgsns: URGENT: CHINA MOVING NUCLEAR MISSILES IN PUBLIC https://t.co/Gx6d7ln6X3 via @YouTube #China #Taiwan #Japan #Israel #Israel…,2022-08-08 07:24:04+00:00,67839403,335,507,20223,0
1556541760792559616,"RT @UpscforAll: Why is Taiwan caught between 
 U.S. and China?

Source: The Hindu

#UPSC #Taiwan #China #USA https://t.co/fcpEIsBHQB",2022-08-08 07:24:09+00:00,34192258,619,4988,4352,39
1556541762277150721,RT @Therealgsns: WHERE DO THEY COME FROM? WHO ARE THESE PEOPLE? https://t.co/Njudo9ci0w #China #Taiwan #Israel #Ukraine #RussiaUkraineWar,2022-08-08 07:24:09+00:00,67839403,335,507,20223,1
