id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count
1556634649501188096,Me perdí el live de jisoo y lisa.,2022-08-08 13:33:15+00:00,1409969655888809985,174,258,4864,0
1556634649589616640,"RT @LiliesHome_: Cute LISA, Smiling LALISA 💕

Please your owned words on your replies

SIX YEARS WITH LISA

#WhatsYourK 
#WhatsYourK_MySong…",2022-08-08 13:33:15+00:00,1259515433104760832,172,208,69944,490
1556634649996427265,"RT @LiSA_OLiVE: 【カバヤピュアラルグミCM&amp;「#シフクノトキ」MV公開】
がんばった私たち、がんばれなかった私たち、いつもありがとう。今日もお疲れ様☻
https://t.co/2zDomdd9iW
https://t.co/YN3iEhPjpn",2022-08-08 13:33:16+00:00,861889837846020096,3464,3255,216230,121
1556634650088448000,RT @blackpinkbabo: lisa said she had pictures for their 6th anniversary but couldn’t upload them because she wanted to hide her hair lol ji…,2022-08-08 13:33:16+00:00,1205108580,1227,5006,367476,2754
1556634650331688962,RT @blackpinkbabo: Jisoo and Lisa said Jennie and Rosé couldn’t make it because of schedules and said they wanted to go live together 🥹 the…,2022-08-08 13:33:16+00:00,1444959397562630151,7,18,17209,2138
1556634650344554496,"RT @KhmerLy2: ลูกสาวผมยาวสวยมากๆนุ่มนิ่มน่ารักอะไรอย่างนี้

SIX YEARS WITH LISA
#LISA #LALISA #MONEY https://t.co/2rx5M0w6oa",2022-08-08 13:33:16+00:00,149447990,83,94,237,1743
1556634650721734657,RT @jenniesrenes: “li to the soo to the lisoo” https://t.co/CU6yT6bFTL,2022-08-08 13:33:16+00:00,1104248722286817280,52,390,11295,4889
1556634651250524160,"RT @ant210805: Góc nghiêng kìa trùi 😍

#WhatsYourK 
#WhatsYourK_MySong #LISA
#MONEY #LALISA https://t.co/BctSmNTnGZ",2022-08-08 13:33:16+00:00,1259998498050543616,174,323,124452,6
1556634652424675334,RT @xx_turtle_: They tried to go live as 4 but their schedules didn't match so Lisa and Jisoo just went live,2022-08-08 13:33:16+00:00,1389423990175842304,237,220,32393,1698
1556634652550504448,RT @blckpinkpic: LISA AND JISOO https://t.co/taWQmpLHrP,2022-08-08 13:33:16+00:00,1524043644780560386,119,346,10085,1582
1556634653011984384,eu e a lisa compartilhamos o mesmo neurônio https://t.co/6CagcQTHMZ,2022-08-08 13:33:16+00:00,1399528989283209221,495,582,4389,0
1556634653087264770,"RT @lalisabaobei: คลิปรวมโปรเจคครบรอบเดบิ้ว6 ปีน้องลิซมาแล้วค้า
โปรเจคแบ่งย่อยเป็น3 part นะคะ
Part 1 โชว์ จอ AR 5 เมือง คล้ายๆโปเกม่อน ที่…",2022-08-08 13:33:16+00:00,1070953911282892800,37,84,84153,195
1556634653129183233,"RT @lalisabaobei: Part 3คือจอ LED 10 เมือง 11 สถานที่

ก้อไม่รู้ว่าหมดไปเท่าไหร่ เพราะพ่อเค้าถ่อมตัวเสมอ ทั้งรูปทั้งคลิปก้อส่งให้ก่อนตลอด ใ…",2022-08-08 13:33:16+00:00,1445720916780994567,0,35,1428,41
