,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,text,created_at,user_id,followers_count,friends_count,favourites_count,retweet_count,grammartext,clean_text,user_neg_mean,user_neu_mean,user_pos_mean,user_comp_mean,user_arts_&_culture_mean,user_business_&_entrepreneurs_mean,user_celebrity_&_pop_culture_mean,user_diaries_&_daily_life_mean,user_family_mean,user_fashion_&_style_mean,user_film_tv_&_video_mean,user_fitness_&_health_mean,user_food_&_dining_mean,user_gaming_mean,user_learning_&_educational_mean,user_music_mean,user_news_&_social_concern_mean,user_other_hobbies_mean,user_relationships_mean,user_science_&_technology_mean,user_sports_mean,user_travel_&_adventure_mean,user_youth_&_student_life_mean,user_hateful_mean,user_targeted_mean,user_aggressive_mean,user_joy_mean,user_sadness_mean,user_others_mean,user_anger_mean,user_surprise_mean,user_disgust_mean,user_fear_mean,user_Kincaid_mean,user_ARI_mean,user_Coleman-Liau_mean,user_FleschReadingEase_mean,user_GunningFogIndex_mean,user_LIX_mean,user_SMOGIndex_mean,user_RIX_mean,user_DaleChallIndex_mean,user_characters_per_word_mean,user_syll_per_word_mean,user_words_per_sentence_mean,user_sentences_per_paragraph_mean,user_type_token_ratio_mean,user_characters_mean,user_syllables_mean,user_words_mean,user_wordtypes_mean,user_sentences_mean,user_paragraphs_mean,user_long_words_mean,user_complex_words_mean,user_complex_words_dc_mean,user_sentiment_mode,user_topic_mode,politeness,cardiff_tokens,offensive,irony,emoji,gender,tweet_grammar,tweet_subjectivity
0,0,0,0,1556587785007632391,"RT @sophiee_ob: Customs Nike Airforce 1 Low ’Just Did It’* 

Sizes 40-45 👟

Price:31,000 naira 🏷

#emilokan | Kizz Daniel | Daniella | SWAT…",2022-08-08 10:27:02+00:00,380215459,1760,1625,16092,50,Customs Nike Airforce 1 Low Just Did It Sizes 40 45 Price 31 000 naira emilokan Kizz Daniel Daniella SWAT,customs nike airforce low just did it sizes price naira emilokan kizz daniel daniella swat,0.13,0.87,0.0,-0.2732,0.031811136752367,0.4622810781002044,0.1025635004043579,0.0846473351120948,0.0199273042380809,0.9650176763534546,0.0405589491128921,0.0443026088178157,0.0164837073534727,0.0316188186407089,0.0275836214423179,0.0187845714390277,0.1679977774620056,0.0596418492496013,0.0235623605549335,0.0341753922402858,0.0752575322985649,0.0301281418651342,0.0242033526301383,0.0262263697525297,0.0011547281379327,0.0055995715070933,0.00864745862782,0.0013366317143663,0.9791507720947266,0.0016175019554793,0.0043941331095993,0.0032272769603878,0.0016262007411569,9.92666666666667,9.933999999999996,12.017955733333334,50.610000000000014,11.333333333333336,41.66666666666667,10.745966692414834,4.0,13.8545,5.066666666666666,1.6666666666666667,15.0,1.0,1.0,76.0,25.0,15.0,15.0,1.0,1.0,4.0,2.0,9.0,negative,5.0,0.09764315,"{'input_ids': tensor([[    0, 13963,   787,    29,  6673,   324,   242,  1215,  2413,    35,
         10465, 10239,  1754,  9091,   112,  6207,    44,    27,  6785,  6553,
            85,    17,    27,  3226,  1437, 50118, 50118,   104,  7396,   843,
            12,  1898, 26964,  4333, 50118, 50118, 36677,    35,  2983,     6,
           151,   295,  2456,   102,  8103,  9357, 18400, 50118, 50118, 10431,
           991,   718,  1638,   260,  1721,   229,  6352,  3028,  1721,  2503,
           324,  5104,  1721, 26304,  1174,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]],
       device='cuda:0')}",0,0.0,0.0,1,8,0.3
1,1,1,1,1556587794582999040,Peter Obi or Peter Obi #VoteThemOut #PeterObiForPresident2023 #Obidatti023 https://t.co/A8PiW5kyJN,2022-08-08 10:27:04+00:00,994285612097261569,19172,16692,133015,0,Peter Obi or Peter Obi VoteThemOut PeterObiForPresident2023 Obidatti023,peter obi or peter obi votethemout peterobiforpresident2023 obidatti023,0.0,0.971,0.0289999999999999,0.0455333333333333,0.0214041391930853,0.0044498450976486,0.164978005302449,0.0684805659887691,0.0017857680601688,0.0022424015915021,0.0460069510154426,0.0011978635739069,0.0008521727577317,0.0029430290645298,0.0029875707890217,0.0188370416872203,0.6189752767483393,0.0841526909110446,0.0074503350964126,0.0021190319481926,0.0237673609517514,0.0017089119258647,0.0014363570759693,0.0313229607842518,0.0010161862631315,0.00689752869337,0.0771025322998563,0.0014707650601242,0.9097733497619628,0.0026369854458607,0.0022579779809651,0.0047460551916932,0.0020123595798698,35.52593434343434,36.64671717171717,44.15428463131314,-149.54734848484847,32.24141414141415,82.11868686868688,12.731431606110712,3.5,17.25200900673401,11.72895622895623,4.144570707070707,5.666666666666667,1.0,0.9583333333333334,54.66666666666666,19.666666666666668,5.666666666666667,5.333333333333333,1.0,1.0,3.5,3.333333333333333,4.166666666666667,neutral,12.0,0.19657724,"{'input_ids': tensor([[    0, 22611, 27954,    50,  2155, 27954,   849, 39992,   133,   119,
         14944,   849, 22611, 24567,   118,  2709,  6517,   844,  1922,   849,
         24567,   808, 13528, 40631,  1205,   640,    90,     4,   876,    73,
           250,   398, 42293,   771,   245,  4122,   863,   487,     2]],
       device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], device='cuda:0')}",0,0.0,2.0,1,2,0.0
2,2,2,2,1556587807791087616,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:08+00:00,1535893130599227392,227,171,21342,142,At the mention of OBidients Hear what happened next The Obidient wave will so sweep off APC and PDP like kilode,at the mention of obidients hear what happened next the obidient wave will so sweep off apc and pdp like kilode,0.0,0.889,0.111,0.3612,0.0037079609464854,0.0040232557803392,0.0157453175634145,0.0349255464971065,0.0017228386132046,0.0006455480470322,0.0116104874759912,0.0030189238023012,0.0006520255701616,0.0012207243125885,0.002450571861118,0.0037157074548304,0.984874188899994,0.0097779743373394,0.0014333486324176,0.0028128870762884,0.0050905798561871,0.0015071399975568,0.001330342143774,0.028256246908549,0.0003909895224943,0.0064452850480049,0.0186091903597116,0.0007660259143449,0.9695391654968262,0.0014617902925238,0.0059274421073496,0.0018251820001751,0.0018712029559537,8.333333333333332,9.48,8.269632238095241,72.72000000000003,14.114285714285714,40.04761904761905,12.486832980505138,4.0,9.941433333333332,4.333333333333333,1.3333333333333333,21.0,1.0,0.9523809523809524,91.0,28.0,21.0,20.0,1.0,1.0,4.0,3.0,7.0,positive,12.0,0.1939386,"{'input_ids': tensor([[    0, 13963,   787, 24567,   808, 20676,   975, 15617,    35,   497,
             5,  4521,     9, 28214,   808, 20676, 16506, 16321,    99,  1102,
           220,  7586,    20,  5816,   808,  4843,  4605,    40,    98,  9808,
           160,  1480,   347,     8,   221,  5174,   101, 12868,  4636,   328,
          1174,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]],
       device='cuda:0')}",0,1.0,2.0,0,6,0.0
3,3,3,3,1556587818729742338,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:10+00:00,1552227191605313536,278,1139,18,142,At the mention of OBidients Hear what happened next The Obidient wave will so sweep off APC and PDP like kilode,at the mention of obidients hear what happened next the obidient wave will so sweep off apc and pdp like kilode,0.0,0.889,0.111,0.3612,0.0037079609464854,0.0040232557803392,0.0157453175634145,0.0349255464971065,0.0017228386132046,0.0006455480470322,0.0116104874759912,0.0030189238023012,0.0006520255701616,0.0012207243125885,0.002450571861118,0.0037157074548304,0.984874188899994,0.0097779743373394,0.0014333486324176,0.0028128870762884,0.0050905798561871,0.0015071399975568,0.001330342143774,0.028256246908549,0.0003909895224943,0.0064452850480049,0.0186091903597116,0.0007660259143449,0.9695391654968262,0.0014617902925238,0.0059274421073496,0.0018251820001751,0.0018712029559537,8.333333333333332,9.48,8.269632238095241,72.72000000000003,14.114285714285714,40.04761904761905,12.486832980505138,4.0,9.941433333333332,4.333333333333333,1.3333333333333333,21.0,1.0,0.9523809523809524,91.0,28.0,21.0,20.0,1.0,1.0,4.0,3.0,7.0,positive,12.0,0.1939386,"{'input_ids': tensor([[    0, 13963,   787, 24567,   808, 20676,   975, 15617,    35,   497,
             5,  4521,     9, 28214,   808, 20676, 16506, 16321,    99,  1102,
           220,  7586,    20,  5816,   808,  4843,  4605,    40,    98,  9808,
           160,  1480,   347,     8,   221,  5174,   101, 12868,  4636,   328,
          1174,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]],
       device='cuda:0')}",0,1.0,2.0,0,6,0.0
4,4,4,4,1556587824710819840,"RT @TheArtivist_KE: Fellow Kenyans there is life after elections..... #ElectionsBilaNoma
#KenyaDecides2022 JKIA Sugoi Eric Omondi #VoteThem…",2022-08-08 10:27:12+00:00,374670868,44,193,2181,50,Fellow Kenyans there is life after elections ElectionsBilaNoma KenyaDecides2022 JKIA Sugoi Eric Omondi VoteThem,fellow kenyans there is life after elections electionsbilanoma kenyadecides2022 jkia sugoi eric omondi votethem,0.0,1.0,0.0,0.0,0.0024000566918402,0.0072987521998584,0.0108804032206535,0.0150288380682468,0.0021976702846586,0.0009666884434409,0.0047796908766031,0.0059247412718832,0.0010981984669342,0.0018913911189883,0.0037438017316162,0.0027947248890995,0.9811534881591796,0.0068745058961212,0.0012885475298389,0.0037229624576866,0.0401519238948822,0.0017109162872657,0.0023627944756299,0.0286803786596094,0.0004971568035408,0.0061940330766558,0.025458488613367,0.0018984405323863,0.9654501676559448,0.001595455687493,0.0015305912820622,0.0021351701579988,0.0019316578982397,20.212857142857143,18.54,23.24477585714285,-24.917857142857137,19.88571428571429,49.71428571428572,15.24744871391589,5.0,14.481614285714286,7.0,2.571428571428572,14.0,1.0,1.0,98.0,36.0,14.0,14.0,1.0,1.0,5.0,5.0,9.0,neutral,12.0,0.19833374,"{'input_ids': tensor([[    0, 13963,   787,   133, 23295, 35012,  1215,  6961,    35, 16728,
          3410,   219,  1253,    89,    16,   301,    71,  1727, 38917,   849,
         31824,  2485,   387,  4882,   487,  4982, 50118, 10431, 28524,  2636,
         15953,  4376,   844,  2036,   344,   530,  2889, 25046, 12467,  2954,
           384,  8876,   118,   849, 39992,   133,   119,  1174,     2]],
       device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1]], device='cuda:0')}",0,0.0,10.0,1,8,0.0
5,5,5,5,1556587841467064322,"Nanny camera available #nairobi #nannycamera price is 4500ksh call or what'sapp +254786664754
""mutahi kagwe""
""Moses… https://t.co/oEAaPNKK6y",2022-08-08 10:27:16+00:00,1438376352428724234,5,21,90,0,Nanny camera available nairobi nannycamera price is 4500ksh call or what sapp 254786664754 mutahi kagwe Moses,nanny camera available nairobi nannycamera price is ksh call or what sapp mutahi kagwe moses,0.0,1.0,0.0,0.0,0.3330899178981781,0.4183935225009918,0.0416066236793994,0.0560647919774055,0.0200404208153486,0.2698613703250885,0.1984473466873169,0.0061009121127426,0.0126196835190057,0.011126103810966,0.0620384812355041,0.0087759438902139,0.0060764853842556,0.219400480389595,0.0111023159697651,0.0443948544561862,0.0100368401035666,0.0500677935779094,0.0089169070124626,0.0268009305884873,0.0012117015636041,0.00553884624843,0.0099320579320192,0.0014433553442358,0.9782026410102844,0.0019546202383935,0.0032604886218905,0.00345911225304,0.001747808069922,13.073333333333338,10.562,12.801935866666668,28.050000000000008,19.33333333333333,35.0,15.24744871391589,3.0,14.907166666666663,5.2,1.933333333333333,15.0,1.0,1.0,78.0,29.0,15.0,15.0,1.0,1.0,3.0,5.0,10.0,neutral,1.0,0.09709956,"{'input_ids': tensor([[    0,   487, 13749,  2280,   577,   849,   282, 14387,  5605,   849,
           282, 13749, 25092,   425,    16,   204,  1497, 19437,   486,    50,
            99,    18,  3340,  2055,  1244, 37664,  4280,  4027, 39382, 50118,
           113, 26121, 15946,   449,  1073,  1694,   113, 50118,   113,   448,
         18575,  1174,  1205,   640,    90,     4,   876,    73,   139, 14684,
           102, 21824, 26228,   401,   219,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1]], device='cuda:0')}",0,0.0,10.0,1,8,0.4
6,6,6,6,1556587942688194560,"RT @AffiliateOla: I love you but your father 😂😂

Pastor #VoteThemOut Tundun Sanwolu #Cheating Microsoft Seun Arise TV Wole Soyinka Favour O…",2022-08-08 10:27:40+00:00,1487499246429478919,144,272,27099,29,I love you but your father Pastor VoteThemOut Tundun Sanwolu Cheating Microsoft Seun Arise TV Wole Soyinka Favour O,i love you but your father pastor votethemout tundun sanwolu cheating microsoft seun arise tv wole soyinka favour o,0.193,0.552,0.254,0.1406,0.0244247317314147,0.0261000655591487,0.0270815938711166,0.3425731062889099,0.396576851606369,0.0028084833174943,0.0199566539376974,0.0055707702413201,0.0038716832641512,0.0038609565235674,0.010228244587779,0.0068495492450892,0.7799864411354065,0.0344026647508144,0.1636584252119064,0.0037671849131584,0.0057113068178296,0.0036378372460603,0.0077615650370717,0.026905773296002,0.0007022939594909,0.0057346710224121,0.0009963589254766,0.0023229266516864,0.0139543432742357,0.009201118722558,0.0013045966625213,0.9707351922988892,0.0014855901245027,11.693684210526316,12.11578947368421,12.66015742105263,45.06578947368425,13.915789473684212,45.315789473684205,12.486832980505138,5.0,14.551531578947367,5.105263157894737,1.6842105263157894,19.0,1.0,1.0,97.0,32.0,19.0,19.0,1.0,1.0,5.0,3.0,12.0,positive,12.0,0.12662312,"{'input_ids': tensor([[    0, 13963,   787, 41085, 43081,   673,  2560,    35,    38,   657,
            47,    53,   110,  1150, 17841,  9264, 18636,  9264, 50118, 50118,
         42282,   368,   849, 39992,   133,   119, 14944,   255,  3194,   879,
           764,   605,  1168,   257,   849, 16764,  1295,  3709,  1608,   879,
          1586,  1496,  1012,   305,  4104, 21185, 18433,   274, 18633,   384,
          1174,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1]], device='cuda:0')}",0,0.0,2.0,0,10,0.6
7,7,7,7,1556587960929222658,"A New Nigeria is POssible, #VoteThemOut #Obidients #Obidatti2023 #PeterObiForPresident2023 https://t.co/XpyULFfpEB",2022-08-08 10:27:44+00:00,994285612097261569,19172,16692,133015,0,A New Nigeria is POssible VoteThemOut Obidients Obidatti2023 PeterObiForPresident2023,a new nigeria is possible votethemout obidients obidatti2023 peterobiforpresident2023,0.0,0.971,0.0289999999999999,0.0455333333333333,0.0214041391930853,0.0044498450976486,0.164978005302449,0.0684805659887691,0.0017857680601688,0.0022424015915021,0.0460069510154426,0.0011978635739069,0.0008521727577317,0.0029430290645298,0.0029875707890217,0.0188370416872203,0.6189752767483393,0.0841526909110446,0.0074503350964126,0.0021190319481926,0.0237673609517514,0.0017089119258647,0.0014363570759693,0.0313229607842518,0.0010161862631315,0.00689752869337,0.0771025322998563,0.0014707650601242,0.9097733497619628,0.0026369854458607,0.0022579779809651,0.0047460551916932,0.0020123595798698,35.52593434343434,36.64671717171717,44.15428463131314,-149.54734848484847,32.24141414141415,82.11868686868688,12.731431606110712,3.5,17.25200900673401,11.72895622895623,4.144570707070707,5.666666666666667,1.0,0.9583333333333334,54.66666666666666,19.666666666666668,5.666666666666667,5.333333333333333,1.0,1.0,3.5,3.333333333333333,4.166666666666667,neutral,12.0,0.2094739,"{'input_ids': tensor([[    0,   250,   188,  2000,    16, 17182,  7485,  4748,     6,   849,
         39992,   133,   119, 14944,   849, 24567,   808, 20676,   849, 24567,
           808, 13528,   844,  1922,   849, 22611, 24567,   118,  2709,  6517,
           844,  1922,  1205,   640,    90,     4,   876,    73,  1000, 17163,
          6597,   597, 46004, 33124,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]],
       device='cuda:0')}",0,0.0,11.0,1,4,0.7272727272727273
8,8,8,8,1556587970693562370,RT @ObidientsYouth: At the mention of OBidients!!! Hear what happened next.. The Obidient wave will so sweep off APC and PDP like kilode!…,2022-08-08 10:27:46+00:00,532047617,470,301,5568,142,At the mention of OBidients Hear what happened next The Obidient wave will so sweep off APC and PDP like kilode,at the mention of obidients hear what happened next the obidient wave will so sweep off apc and pdp like kilode,0.0,0.889,0.111,0.3612,0.0037079609464854,0.0040232557803392,0.0157453175634145,0.0349255464971065,0.0017228386132046,0.0006455480470322,0.0116104874759912,0.0030189238023012,0.0006520255701616,0.0012207243125885,0.002450571861118,0.0037157074548304,0.984874188899994,0.0097779743373394,0.0014333486324176,0.0028128870762884,0.0050905798561871,0.0015071399975568,0.001330342143774,0.028256246908549,0.0003909895224943,0.0064452850480049,0.0186091903597116,0.0007660259143449,0.9695391654968262,0.0014617902925238,0.0059274421073496,0.0018251820001751,0.0018712029559537,8.333333333333332,9.48,8.269632238095241,72.72000000000003,14.114285714285714,40.04761904761905,12.486832980505138,4.0,9.941433333333332,4.333333333333333,1.3333333333333333,21.0,1.0,0.9523809523809524,91.0,28.0,21.0,20.0,1.0,1.0,4.0,3.0,7.0,positive,12.0,0.1939386,"{'input_ids': tensor([[    0, 13963,   787, 24567,   808, 20676,   975, 15617,    35,   497,
             5,  4521,     9, 28214,   808, 20676, 16506, 16321,    99,  1102,
           220,  7586,    20,  5816,   808,  4843,  4605,    40,    98,  9808,
           160,  1480,   347,     8,   221,  5174,   101, 12868,  4636,   328,
          1174,     2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]],
       device='cuda:0')}",0,1.0,2.0,0,6,0.0
9,9,9,9,1556587978067218433,"RT @multimeverse: One man will come and say he own a whole state &amp; people will applaud him. They will say Godfatherism, in this era? Mentee…",2022-08-08 10:27:48+00:00,1512034590038319104,56,577,3660,312,One man will come and say he own a whole state amp people will applaud him They will say Godfatherism in this era Mentee,one man will come and say he own a whole state amp people will applaud him they will say godfatherism in this era mentee,0.0,0.88,0.12,0.4588,0.0149920564144849,0.0441998280584812,0.0624650903046131,0.0818818360567092,0.0045569334179162,0.0025631301105022,0.0117200976237654,0.0007122090901248,0.001234900788404,0.001813763519749,0.0143118370324373,0.0028281384147703,0.8908714652061462,0.0690518468618393,0.0052332980558276,0.0044717052951455,0.0136199137195944,0.0053378255106508,0.0039409738965332,0.025570585015211,0.0011961514158621,0.0062057982419103,0.001144164474681,0.0024669317062944,0.0158871803432703,0.00593963265419,0.0017989687621593,0.9709412455558776,0.0018219919875264,8.52,9.606250000000005,6.730790458333335,76.72500000000001,11.266666666666666,32.333333333333336,8.477225575051662,2.0,8.116483333333333,4.041666666666667,1.25,24.0,1.0,0.875,97.0,30.0,24.0,21.0,1.0,1.0,2.0,1.0,5.0,positive,12.0,0.14701064,"{'input_ids': tensor([[    0, 13963,   787, 42527,  4235, 15189,    35,   509,   313,    40,
           283,     8,   224,    37,   308,    10,  1086,   194,   359,  3914,
           131,    82,    40, 19477,   123,     4,   252,    40,   224,  1840,
         14891,  1809,     6,    11,    42,  3567,   116, 22150,  1942,  1174,
             2]], device='cuda:0'), 'attention_mask': tensor([[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1,
         1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]], device='cuda:0')}",0,1.0,2.0,0,2,0.7
